<<<<<<< HEAD
|                     Parameters |                       0 |                      1 |   2 |                      3 |   4 |                      5 |                       6 |                     7 |                     8 |   9 |
|         Crablog.spectral.index |     0.03555934008294194 | -6.681346042424645e-13 | 0.0 |  -0.012592358414540728 | 0.0 |  8.489688573979205e-07 | -5.4925754938677895e-08 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.amplitude |  -6.681346042424645e-13 | 2.8713412189470853e-23 | 0.0 | 3.5944068959747974e-13 | 0.0 | -1.415281142489413e-16 |  2.0984518922832067e-17 |                   0.0 |                   0.0 | 0.0 |
|     Crablog.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|       Crablog.spectral.lambda_ |   -0.012592358414540728 | 3.5944068959747974e-13 | 0.0 |   0.006606515889975283 | 0.0 | 4.6118203827252635e-08 |   6.898486295985484e-08 |                   0.0 |                   0.0 | 0.0 |
|         Crablog.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lon_0 |   8.489688573979205e-07 | -1.415281142489413e-16 | 0.0 | 4.6118203827252635e-08 | 0.0 | 2.4188494859559976e-05 |   2.066794938178581e-09 |                   0.0 |                   0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -5.4925754938677895e-08 | 2.0984518922832067e-17 | 0.0 |  6.898486295985484e-08 | 0.0 |  2.066794938178581e-09 |  1.8130837152266177e-05 |                   0.0 |                   0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0005354018790181381 | 4.343982518100499e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 4.343982518100499e-05 | 0.0006228895729345284 | 0.0 |
| dataset-bkg.spectral.reference |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 |                   0.0 |                   0.0 | 0.0 |
=======
|                     Parameters |                      0 |                       1 |   2 |                      3 |   4 |                       5 |                      6 |                      7 |                      8 |   9 |
|         Crablog.spectral.index |   0.035559332655794675 |  -6.681341950951085e-13 | 0.0 |  -0.012592353167253831 | 0.0 |   8.487359534633261e-07 | -5.493386398193511e-08 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.amplitude | -6.681341950951085e-13 |  2.8713394504366384e-23 | 0.0 | 3.5944043091847423e-13 | 0.0 | -1.4152928762885169e-16 | 2.0977269263222976e-17 |                    0.0 |                    0.0 | 0.0 |
|     Crablog.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|       Crablog.spectral.lambda_ |  -0.012592353167253831 |  3.5944043091847423e-13 | 0.0 |   0.006606512481412269 | 0.0 |  4.6145121046103285e-08 |   6.89515758189541e-08 |                    0.0 |                    0.0 | 0.0 |
|         Crablog.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lon_0 |  8.487359534633261e-07 | -1.4152928762885169e-16 | 0.0 | 4.6145121046103285e-08 | 0.0 |   2.418849898469514e-05 |   2.06030680071521e-09 |                    0.0 |                    0.0 | 0.0 |
|          Crablog.spatial.lat_0 | -5.493386398193511e-08 |  2.0977269263222976e-17 | 0.0 |   6.89515758189541e-08 | 0.0 |    2.06030680071521e-09 | 1.8130839087566875e-05 |                    0.0 |                    0.0 | 0.0 |
|      dataset-bkg.spectral.norm |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |  0.0005354019670623551 | 4.3439749732882116e-05 | 0.0 |
|      dataset-bkg.spectral.tilt |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 4.3439749732882116e-05 |   0.000622889595542033 | 0.0 |
| dataset-bkg.spectral.reference |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |
>>>>>>> 4319a963bacb9573d3dfae2e41982af4ce589ae2
